description,code_type,code_new
ACUTE CORYZA,ctv3,ct_Y02RZ
ACUTE NASOPHARYNGITIS,aurmedcode,au_136470019
ACUTE NASOPHARYNGITIS,conceptid,co_82272006
ACUTE NASOPHARYNGITIS,ctv3,ct_Y02TH
ACUTE NASOPHARYNGITIS,medcode,me_3260
ACUTE NASOPHARYNGITIS,readv2_5,re_H00..
ACUTE NASOPHARYNGITIS,readv2_7,re_H00..00
ACUTE RHINITIS,ctv3,ct_Y02RT
BORDETELLA,readv2_5,re_A33..
BORDETELLA BRONCHISEPTICA,conceptid,co_27836007
BRONCHIAL COUGH,aurmedcode,au_252360013
BRONCHIAL COUGH,conceptid,co_161929000
BRONCHIAL COUGH,ctv3,ct_YM9gj
BRONCHIAL COUGH,medcode,me_1025
BRONCHIAL COUGH,readv2_5,re_1719.
BRONCHIAL COUGH,readv2_7,re_1719.11
C/O - COUGH,aurmedcode,au_407081018
C/O - COUGH,conceptid,co_161921002
C/O - COUGH,conceptid,co_272039006
C/O - COUGH,ctv3,ct_YM1ir
C/O - COUGH,medcode,me_1273
C/O - COUGH,readv2_5,re_171..
C/O - COUGH,readv2_7,re_171..11
CHEST COLD,aurmedcode,au_301143015
CHEST COLD,conceptid,co_195747001
CHEST COLD,conceptid,co_50417007
CHEST COLD,ctv3,ct_YaYAg
CHEST COLD,medcode,me_2476
CHEST COLD,readv2_5,re_H07..
CHEST COLD,readv2_7,re_H07..00
CHESTY COUGH,aurmedcode,au_252359015
CHESTY COUGH,conceptid,co_139186002
CHESTY COUGH,ctv3,ct_YM9gi
CHESTY COUGH,medcode,me_292
CHESTY COUGH,readv2_7,re_1719.00
COLD,ctv3,ct_YM3xn
COMMON COLD,aurmedcode,au_136463019
COMMON COLD,conceptid,co_155497009
COMMON COLD,conceptid,co_232342002
COMMON COLD,ctv3,ct_Y02RU
COMMON COLD,medcode,me_368
COMMON COLD,readv2_7,re_H00..11
CORYZA - ACUTE,aurmedcode,au_598191000006116
CORYZA - ACUTE,ctv3,ct_YMK6B
CORYZA - ACUTE,medcode,me_1246
CORYZA - ACUTE,readv2_7,re_H00..12
COUGH,aurmedcode,au_82824016
COUGH,aurmedcode,au_961781000006119
COUGH,conceptid,co_49727002
COUGH,conceptid,co_961781000006103
COUGH,ctv3,ct_Y7DvP
COUGH,medcode,me_92
COUGH,readv2_7,re_171..00
COUGH SYMPTOM NOS,aurmedcode,au_252366019
COUGH SYMPTOM NOS,conceptid,co_139190000
COUGH SYMPTOM NOS,conceptid,co_161935000
COUGH SYMPTOM NOS,ctv3,ct_Y7DvR
COUGH SYMPTOM NOS,medcode,me_7707
COUGH SYMPTOM NOS,readv2_5,re_171Z.
COUGH SYMPTOM NOS,readv2_7,re_171Z.00
COUGH WITH FEVER,aurmedcode,au_216653013
COUGH WITH FEVER,conceptid,co_135883003
COUGH WITH FEVER,conceptid,co_366956000
COUGH WITH FEVER,conceptid,co_367181007
COUGH WITH FEVER,ctv3,ct_Yakn8
COUGH WITH FEVER,medcode,me_18907
COUGH WITH FEVER,readv2_5,re_171F.
COUGH WITH FEVER,readv2_7,re_171F.00
COUGHING UP PHLEGM,aurmedcode,au_598431000006113
COUGHING UP PHLEGM,conceptid,co_28743005
COUGHING UP PHLEGM,ctv3,ct_YM9gh
COUGHING UP PHLEGM,medcode,me_3645
COUGHING UP PHLEGM,readv2_5,re_1716.
COUGHING UP PHLEGM,readv2_7,re_1716.11
