readcode,medcode_desc,codegroup,frequency,hawkeslist,desc_class,codegroup_broad,medcode
F500.00,Perichondritis of pinna,Otitis externa,597,0,Disorders of external ear,Otitis externa,1102
F500000,Unspecified perichondritis of pinna,Otitis externa,1,0,Disorders of external ear,Otitis externa,41506
F500100,Acute perichondritis of pinna,Otitis externa,8,0,Disorders of external ear,Otitis externa,43616
F500200,Chronic pinna perichondritis,Otitis externa,3,0,Disorders of external ear,Otitis externa,38719
F500211,Chondrodermatitis nodularis helicis,Otitis externa,7,0,Disorders of external ear,Otitis externa,16847
F500300,Chondrodermatitis nodularis helicis,Otitis externa,259,0,Disorders of external ear,Otitis externa,7548
F500z00,Perichondritis of pinna NOS,Otitis externa,7,0,Disorders of external ear,Otitis externa,14863
F501.00,Infective otitis externa,Otitis externa,121138,0,Disorders of external ear,Otitis externa,2138
F501000,Unspecified infective otitis externa,Otitis externa,3277,0,Disorders of external ear,Otitis externa,1242
F501100,Acute infective otitis externa,Otitis externa,1658,0,Disorders of external ear,Otitis externa,14907
F501111,"Abscess, external ear",Otitis externa,73,0,Disorders of external ear,Otitis externa,20144
F501112,"Cellulitis, external ear",Otitis externa,1881,0,Disorders of external ear,Otitis externa,8852
F501200,Acute infection of pinna,Otitis externa,4523,0,Disorders of external ear,Otitis externa,15107
F501300,Acute swimmers' ear,Otitis externa,141,0,Disorders of external ear,Otitis externa,22384
F501400,Infective otitis externa due to erysipelas,Otitis externa,3,0,Disorders of external ear,Otitis externa,68242
F501411,Erysipelas - otitis externa,Otitis externa,22,0,Disorders of external ear,Otitis externa,27616
F501700,Infective otitis externa due to impetigo,Otitis externa,5,0,Disorders of external ear,Otitis externa,16249
F501711,Impetigo - otitis externa,Otitis externa,137,0,Disorders of external ear,Otitis externa,17353
F501900,Other acute external ear infections,Otitis externa,77,0,Disorders of external ear,Otitis externa,36760
F501E00,Other chronic infective otitis externa,Otitis externa,4,0,Disorders of external ear,Otitis externa,27669
F501F00,Chronic infective otitis externa NOS,Otitis externa,1468,0,Disorders of external ear,Otitis externa,8700
F501G00,Haemorrhagic otitis externa,Otitis externa,1,0,Disorders of external ear,Otitis externa,26065
F501y00,Other specified infective otitis externa,Otitis externa,4,0,Disorders of external ear,Otitis externa,41806
F501z00,Infective otitis externa NOS,Otitis externa,203,0,Disorders of external ear,Otitis externa,41120
F502.00,Other otitis externa,Otitis externa,7449,0,Disorders of external ear,Otitis externa,3350
F502z00,Otitis externa NOS,Otitis externa,44762,0,Disorders of external ear,Otitis externa,630
F502z11,Inflammation ear external,Otitis externa,360,0,Disorders of external ear,Otitis externa,5537
F506.00,Abscess of external ear,Otitis externa,407,0,Disorders of external ear,Otitis externa,16969
F587.00,Otalgia,Otitis externa,84869,0,Other ear disorders,Otitis externa,731
F587.11,Ear pain,Otitis externa,65863,0,Other ear disorders,Otitis externa,1135
F587000,Unspecified otalgia,Otitis externa,92,0,Other ear disorders,Otitis externa,25171
F587z00,Otalgia NOS,Otitis externa,73,0,Other ear disorders,Otitis externa,44481
