code,term,dmd_id
4381711000001103,MERONEM 1G POWDER FOR SOLUTION FOR INJECTION VIALS,4381711000001103
4382011000001108,MERONEM 500MG POWDER FOR SOLUTION FOR INJECTION VIALS,4382011000001108
324344005,MEROPENEM 1G POWDER FOR SOLUTION FOR INJECTION VIALS,324344005
18486011000001100,MEROPENEM 1G POWDER FOR SOLUTION FOR INJECTION VIALS,18486011000001100
23049211000001104,MEROPENEM 1G POWDER FOR SOLUTION FOR INJECTION VIALS,23049211000001104
26812911000001104,MEROPENEM 1G POWDER FOR SOLUTION FOR INJECTION VIALS,26812911000001104
29714711000001100,MEROPENEM 1G POWDER FOR SOLUTION FOR INJECTION VIALS,29714711000001100
32391011000001104,MEROPENEM 1G POWDER FOR SOLUTION FOR INJECTION VIALS,32391011000001104
34711811000001104,MEROPENEM 1G POWDER FOR SOLUTION FOR INJECTION VIALS,34711811000001104
35246811000001104,MEROPENEM 1G POWDER FOR SOLUTION FOR INJECTION VIALS,35246811000001104
35306611000001104,MEROPENEM 1G POWDER FOR SOLUTION FOR INJECTION VIALS,35306611000001104
35829511000001104,MEROPENEM 1G POWDER FOR SOLUTION FOR INJECTION VIALS,35829511000001104
37656911000001104,MEROPENEM 1G POWDER FOR SOLUTION FOR INJECTION VIALS,37656911000001104
38009811000001104,MEROPENEM 1G POWDER FOR SOLUTION FOR INJECTION VIALS,38009811000001104
324343004,MEROPENEM 500MG POWDER FOR SOLUTION FOR INJECTION VIALS,324343004
18486711000001104,MEROPENEM 500MG POWDER FOR SOLUTION FOR INJECTION VIALS,18486711000001104
23021211000001100,MEROPENEM 500MG POWDER FOR SOLUTION FOR INJECTION VIALS,23021211000001100
26812711000001104,MEROPENEM 500MG POWDER FOR SOLUTION FOR INJECTION VIALS,26812711000001104
28963111000001108,MEROPENEM 500MG POWDER FOR SOLUTION FOR INJECTION VIALS,28963111000001108
34711611000001108,MEROPENEM 500MG POWDER FOR SOLUTION FOR INJECTION VIALS,34711611000001108
35247011000001104,MEROPENEM 500MG POWDER FOR SOLUTION FOR INJECTION VIALS,35247011000001104
35306811000001104,MEROPENEM 500MG POWDER FOR SOLUTION FOR INJECTION VIALS,35306811000001104
35834011000001100,MEROPENEM 500MG POWDER FOR SOLUTION FOR INJECTION VIALS,35834011000001100
37655611000001104,MEROPENEM 500MG POWDER FOR SOLUTION FOR INJECTION VIALS,37655611000001104
38009511000001104,MEROPENEM 500MG POWDER FOR SOLUTION FOR INJECTION VIALS,38009511000001104
28963111000001109,Meropenem 500mg powder for solution for injection vials,28963111000001109
34711611000001107,Meropenem 500mg powder for solution for injection vials,34711611000001107
35306811000001105,Meropenem 500mg powder for solution for injection vials,35306811000001105
35834011000001101,Meropenem 500mg powder for solution for injection vials,35834011000001101
35247011000001102,Meropenem 500mg powder for solution for injection vials,35247011000001102
38009511000001105,Meropenem 500mg powder for solution for injection vials,38009511000001105
37655611000001101,Meropenem 500mg powder for solution for injection vials,37655611000001101
34711811000001106,Meropenem 1g powder for solution for injection vials,34711811000001106
35306611000001106,Meropenem 1g powder for solution for injection vials,35306611000001106
35829511000001105,Meropenem 1g powder for solution for injection vials,35829511000001105
26812911000001102,Meropenem 1g powder for solution for injection vials,26812911000001102
23049211000001102,Meropenem 1g powder for solution for injection vials,23049211000001102
35246811000001106,Meropenem 1g powder for solution for injection vials,35246811000001106
18486011000001101,Meropenem 1g powder for solution for injection vials,18486011000001101
38009811000001108,Meropenem 1g powder for solution for injection vials,38009811000001108
37656911000001100,Meropenem 1g powder for solution for injection vials,37656911000001100
32391011000001106,Meropenem 1g powder for solution for injection vials,32391011000001106
41951511000001103,VMP subsequent to 324344005,41951511000001103
41951611000001104,VMP subsequent to 324343004,41951611000001104
