dmd,name,bnf_code,invalid,type
12862811000001106,Nitrofurantoin 100mg/5ml oral solution,0501130R0AAAJAJ,0,VMP
12862911000001100,Nitrofurantoin 100mg/5ml oral suspension,0501130R0AAAJAJ,0,VMP
324572002,Nitrofurantoin 100mg capsules,0501130R0AAABAB,0,VMP
39108511000001104,Nitrofurantoin 100mg modified-release capsules,0501130R0AAAGAG,0,VMP
324559003,Nitrofurantoin 100mg tablets,0501130R0AAAEAE,0,VMP
12863011000001108,Nitrofurantoin 10mg/5ml oral solution,0501130R0AAATAT,0,VMP
12863111000001104,Nitrofurantoin 10mg/5ml oral suspension,0501130R0AAATAT,0,VMP
12863211000001104,Nitrofurantoin 11mg/5ml oral solution,0501130R0AACGCG,0,VMP
12863311000001108,Nitrofurantoin 11mg/5ml oral suspension,0501130R0AACGCG,0,VMP
12863411000001100,Nitrofurantoin 12.5mg/5ml oral solution,0501130R0AABEBE,0,VMP
12863611000001102,Nitrofurantoin 125mg/5ml oral solution,0501130R0AABSBS,0,VMP
12863511000001100,Nitrofurantoin 12.5mg/5ml oral suspension,0501130R0AABEBE,0,VMP
12863711000001106,Nitrofurantoin 125mg/5ml oral suspension,0501130R0AABSBS,0,VMP
12863811000001104,Nitrofurantoin 12mg/5ml oral solution,0501130R0AAAUAU,0,VMP
12863911000001108,Nitrofurantoin 12mg/5ml oral suspension,0501130R0AAAUAU,0,VMP
12864011000001106,Nitrofurantoin 13.5mg/5ml oral solution,0501130R0AACECE,0,VMP
12864111000001108,Nitrofurantoin 13.5mg/5ml oral suspension,0501130R0AACECE,0,VMP
12864211000001100,Nitrofurantoin 13mg/5ml oral solution,0501130R0AAASAS,0,VMP
12864311000001108,Nitrofurantoin 13mg/5ml oral suspension,0501130R0AAASAS,0,VMP
12864411000001102,Nitrofurantoin 14mg/5ml oral solution,0501130R0AABWBW,0,VMP
12864511000001104,Nitrofurantoin 14mg/5ml oral suspension,0501130R0AABWBW,0,VMP
12864611000001104,Nitrofurantoin 15mg/5ml oral solution,0501130R0AAALAL,0,VMP
12864711000001108,Nitrofurantoin 15mg/5ml oral suspension,0501130R0AAALAL,0,VMP
12864811000001100,Nitrofurantoin 16mg/5ml oral solution,0501130R0AABJBJ,0,VMP
12864911000001104,Nitrofurantoin 16mg/5ml oral suspension,0501130R0AABJBJ,0,VMP
12893811000001100,Nitrofurantoin 17.5mg/5ml oral solution,0501130R0AACICI,0,VMP
12894011000001108,Nitrofurantoin 17.5mg/5ml oral suspension,0501130R0AACICI,0,VMP
12894111000001108,Nitrofurantoin 17mg/5ml oral solution,0501130R0AABIBI,0,VMP
12894211000001104,Nitrofurantoin 17mg/5ml oral suspension,0501130R0AABIBI,0,VMP
12894311000001106,Nitrofurantoin 18.75mg/5ml oral solution,0501130R0AABQBQ,0,VMP
12894511000001100,Nitrofurantoin 18.75mg/5ml oral suspension,0501130R0AABQBQ,0,VMP
12894611000001100,Nitrofurantoin 18mg/5ml oral solution,0501130R0AAAQAQ,0,VMP
12894711000001104,Nitrofurantoin 18mg/5ml oral suspension,0501130R0AAAQAQ,0,VMP
12895111000001108,Nitrofurantoin 1mg/5ml oral solution,0501130R0AACDCD,0,VMP
12894811000001102,Nitrofurantoin 1mg/5ml oral suspension,0501130R0AACDCD,0,VMP
12904211000001108,Nitrofurantoin 20mg/5ml oral solution,0501130R0AAAVAV,0,VMP
12904311000001100,Nitrofurantoin 20mg/5ml oral suspension,0501130R0AAAVAV,0,VMP
12904411000001108,Nitrofurantoin 22mg/5ml oral solution,0501130R0AABGBG,0,VMP
12904511000001108,Nitrofurantoin 22mg/5ml oral suspension,0501130R0AABGBG,0,VMP
12904611000001106,Nitrofurantoin 24mg/5ml oral solution,0501130R0AABYBY,0,VMP
12904711000001102,Nitrofurantoin 24mg/5ml oral suspension,0501130R0AABYBY,0,VMP
12904811000001104,Nitrofurantoin 2.5mg/5ml oral solution,0501130R0AABDBD,0,VMP
12904911000001100,Nitrofurantoin 25mg/5ml oral solution,0501130R0AAAMAM,0,VMP
12904111000001104,Nitrofurantoin 2.5mg/5ml oral suspension,0501130R0AABDBD,0,VMP
375489004,Nitrofurantoin 25mg/5ml oral suspension,0501130R0AAAMAM,0,VMP
36565611000001104,Nitrofurantoin 25mg/5ml oral suspension sugar free,0501130R0AAACAC,0,VMP
12905011000001100,Nitrofurantoin 2mg/5ml oral solution,0501130R0AABCBC,0,VMP
12905111000001104,Nitrofurantoin 2mg/5ml oral suspension,0501130R0AABCBC,0,VMP
12933911000001106,Nitrofurantoin 30mg/5ml oral solution,0501130R0AAAZAZ,0,VMP
12934011000001108,Nitrofurantoin 30mg/5ml oral suspension,0501130R0AAAZAZ,0,VMP
12934111000001104,Nitrofurantoin 32.5mg/5ml oral solution,0501130R0AABUBU,0,VMP
12934211000001104,Nitrofurantoin 32.5mg/5ml oral suspension,0501130R0AABUBU,0,VMP
12934311000001108,Nitrofurantoin 35mg/5ml oral solution,0501130R0AABPBP,0,VMP
12934411000001100,Nitrofurantoin 35mg/5ml oral suspension,0501130R0AABPBP,0,VMP
12934511000001100,Nitrofurantoin 40mg/5ml oral solution,0501130R0AAAPAP,0,VMP
12934611000001102,Nitrofurantoin 40mg/5ml oral suspension,0501130R0AAAPAP,0,VMP
12934711000001106,Nitrofurantoin 45mg/5ml oral solution,0501130R0AABXBX,0,VMP
12934811000001104,Nitrofurantoin 45mg/5ml oral suspension,0501130R0AABXBX,0,VMP
12934911000001108,Nitrofurantoin 4mg/5ml oral solution,0501130R0AABVBV,0,VMP
12935011000001108,Nitrofurantoin 4mg/5ml oral suspension,0501130R0AABVBV,0,VMP
12935311000001106,Nitrofurantoin 50mg/5ml oral solution,0501130R0AAANAN,0,VMP
12935411000001104,Nitrofurantoin 50mg/5ml oral suspension,0501130R0AAANAN,0,VMP
324570005,Nitrofurantoin 50mg capsules,0501130R0AAAAAA,0,VMP
324558006,Nitrofurantoin 50mg tablets,0501130R0AAADAD,0,VMP
12935111000001108,Nitrofurantoin 5.5mg/5ml oral solution,0501130R0AABNBN,0,VMP
12935211000001104,Nitrofurantoin 5.5mg/5ml oral suspension,0501130R0AABNBN,0,VMP
12935511000001100,Nitrofurantoin 5mg/5ml oral solution,0501130R0AAARAR,0,VMP
12935611000001100,Nitrofurantoin 5mg/5ml oral suspension,0501130R0AAARAR,0,VMP
12935711000001104,Nitrofurantoin 6.5mg/5ml oral solution,0501130R0AAAWAW,0,VMP
12935811000001102,Nitrofurantoin 6.5mg/5ml oral suspension,0501130R0AAAWAW,0,VMP
12935911000001108,Nitrofurantoin 6mg/5ml oral solution,0501130R0AABRBR,0,VMP
12936011000001104,Nitrofurantoin 6mg/5ml oral suspension,0501130R0AABRBR,0,VMP
12936111000001104,Nitrofurantoin 7.5mg/5ml oral solution,0501130R0AAAXAX,0,VMP
12936511000001108,Nitrofurantoin 75mg/5ml oral solution,0501130R0AABKBK,0,VMP
12936211000001108,Nitrofurantoin 7.5mg/5ml oral suspension,0501130R0AAAXAX,0,VMP
12936611000001106,Nitrofurantoin 75mg/5ml oral suspension,0501130R0AABKBK,0,VMP
12936311000001100,Nitrofurantoin 7.8mg/5ml oral solution,0501130R0AACJCJ,0,VMP
12936411000001108,Nitrofurantoin 7.8mg/5ml oral suspension,0501130R0AACJCJ,0,VMP
12936711000001102,Nitrofurantoin 7mg/5ml oral solution,0501130R0AABBBB,0,VMP
12936811000001104,Nitrofurantoin 7mg/5ml oral suspension,0501130R0AABBBB,0,VMP
12936911000001100,Nitrofurantoin 8mg/5ml oral solution,0501130R0AABLBL,0,VMP
12937011000001100,Nitrofurantoin 8mg/5ml oral suspension,0501130R0AABLBL,0,VMP
12937111000001100,Nitrofurantoin 9.5mg/5ml oral solution,0501130R0AABTBT,0,VMP
